time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,Open time,Close time
2022-11-01T02:55:13.6700000Z,2022-11-01T02:59:49.1530000Z,20572,20580,20569,20576,0.69889596,16,2022-11-01 02:55:00+00:00,2022-11-01 03:00:00+00:00
2022-11-01T03:00:21.5750000Z,2022-11-01T03:04:37.2130000Z,20579,20579,20568,20569,0.8866295,14,2022-11-01 03:00:00+00:00,2022-11-01 03:05:00+00:00
2022-11-01T03:05:00.5620000Z,2022-11-01T03:09:57.3170000Z,20563,20563,20546,20548,4.28125205,34,2022-11-01 03:05:00+00:00,2022-11-01 03:10:00+00:00
2022-11-01T03:10:00.4600000Z,2022-11-01T03:14:56.1280000Z,20551,20551,20511,20511,2.44645537,26,2022-11-01 03:10:00+00:00,2022-11-01 03:15:00+00:00
2022-11-01T03:15:00.5440000Z,2022-11-01T03:19:45.2630000Z,20510,20525,20506,20511,4.25574355,21,2022-11-01 03:15:00+00:00,2022-11-01 03:20:00+00:00
2022-11-01T03:20:03.1440000Z,2022-11-01T03:24:35.2360000Z,20512,20512,20501,20506,3.45089338,38,2022-11-01 03:20:00+00:00,2022-11-01 03:25:00+00:00
2022-11-01T03:25:22.5220000Z,2022-11-01T03:29:27.5650000Z,20502,20503,20498,20498,2.19094847,15,2022-11-01 03:25:00+00:00,2022-11-01 03:30:00+00:00
2022-11-01T03:30:27.2120000Z,2022-11-01T03:34:50.8650000Z,20501,20501,20475,20480,2.30840521,19,2022-11-01 03:30:00+00:00,2022-11-01 03:35:00+00:00
2022-11-01T03:35:05.7130000Z,2022-11-01T03:39:55.1560000Z,20481,20495,20481,20488,1.92376355,17,2022-11-01 03:35:00+00:00,2022-11-01 03:40:00+00:00
2022-11-01T03:40:23.6660000Z,2022-11-01T03:44:52.0040000Z,20493,20494,20487,20488,0.4317333,14,2022-11-01 03:40:00+00:00,2022-11-01 03:45:00+00:00
