time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,Open time,Close time
2021-03-01T00:50:18.1060000Z,2021-03-01T00:54:54.2480000Z,1444.04,1448.03,1442.28,1446.81,161.0423215,35,2021-03-01 00:50:00+00:00,2021-03-01 00:55:00+00:00
2021-03-01T00:56:19.3370000Z,2021-03-01T00:59:20.7900000Z,1444.82,1444.82,1442.64,1442.64,54.12130817,12,2021-03-01 00:55:00+00:00,2021-03-01 01:00:00+00:00
2021-03-01T01:00:11.8570000Z,2021-03-01T01:04:38.4350000Z,1447.38,1451.3,1440.57,1440.57,66.98645331,17,2021-03-01 01:00:00+00:00,2021-03-01 01:05:00+00:00
2021-03-01T01:05:06.4090000Z,2021-03-01T01:09:16.0650000Z,1437.41,1440.46,1436.5,1438.76,118.66552283,29,2021-03-01 01:05:00+00:00,2021-03-01 01:10:00+00:00
2021-03-01T01:10:32.6080000Z,2021-03-01T01:14:37.9030000Z,1436.77,1436.77,1434.03,1434.15,132.64757481,29,2021-03-01 01:10:00+00:00,2021-03-01 01:15:00+00:00
2021-03-01T01:15:11.4560000Z,2021-03-01T01:19:36.3570000Z,1435.2,1438.19,1435.2,1435.65,141.36380684,32,2021-03-01 01:15:00+00:00,2021-03-01 01:20:00+00:00
2021-03-01T01:20:07.2690000Z,2021-03-01T01:24:24.2760000Z,1435.51,1436.03,1428.84,1436.03,129.03448628,39,2021-03-01 01:20:00+00:00,2021-03-01 01:25:00+00:00
2021-03-01T01:25:28.4610000Z,2021-03-01T01:29:20.0990000Z,1435.02,1435.86,1433.57,1435.0,21.79143014,13,2021-03-01 01:25:00+00:00,2021-03-01 01:30:00+00:00
2021-03-01T01:30:09.3420000Z,2021-03-01T01:34:21.0920000Z,1435.6,1444.69,1435.6,1441.72,104.56991206,39,2021-03-01 01:30:00+00:00,2021-03-01 01:35:00+00:00
2021-03-01T01:35:38.6360000Z,2021-03-01T01:39:22.5250000Z,1439.24,1441.87,1436.0,1436.0,44.00554351,17,2021-03-01 01:35:00+00:00,2021-03-01 01:40:00+00:00
2021-03-01T01:41:18.4140000Z,2021-03-01T01:44:56.6720000Z,1435.8,1441.79,1435.8,1440.27,93.86337778,29,2021-03-01 01:40:00+00:00,2021-03-01 01:45:00+00:00
2021-03-01T01:45:02.3900000Z,2021-03-01T01:49:28.3900000Z,1440.11,1442.31,1438.46,1441.41,40.92237513,18,2021-03-01 01:45:00+00:00,2021-03-01 01:50:00+00:00
2021-03-01T01:50:40.9230000Z,2021-03-01T01:54:38.5170000Z,1444.84,1445.64,1442.36,1442.36,26.49656055,19,2021-03-01 01:50:00+00:00,2021-03-01 01:55:00+00:00
2021-03-01T01:55:03.9840000Z,2021-03-01T01:58:57.7030000Z,1439.21,1442.65,1436.64,1441.3,96.62832452,26,2021-03-01 01:55:00+00:00,2021-03-01 02:00:00+00:00
2021-03-01T02:00:16.2340000Z,2021-03-01T02:03:02.4370000Z,1445.0,1446.2,1440.92,1443.47,13.60015753,8,2021-03-01 02:00:00+00:00,2021-03-01 02:05:00+00:00
2021-03-01T02:06:06.4470000Z,2021-03-01T02:09:21.5960000Z,1447.74,1449.15,1447.23,1447.23,87.13006707,49,2021-03-01 02:05:00+00:00,2021-03-01 02:10:00+00:00
2021-03-01T02:10:03.3930000Z,2021-03-01T02:14:32.6380000Z,1449.05,1449.05,1445.01,1446.0,110.89221049,11,2021-03-01 02:10:00+00:00,2021-03-01 02:15:00+00:00
2021-03-01T02:15:04.9890000Z,2021-03-01T02:19:39.6780000Z,1445.95,1446.84,1443.1,1443.1,153.69115212,42,2021-03-01 02:15:00+00:00,2021-03-01 02:20:00+00:00
2021-03-01T02:20:08.0890000Z,2021-03-01T02:24:51.8150000Z,1443.68,1450.26,1443.68,1450.26,76.29925031,36,2021-03-01 02:20:00+00:00,2021-03-01 02:25:00+00:00
2021-03-01T02:25:51.4150000Z,2021-03-01T02:29:33.9010000Z,1452.14,1460.0,1451.24,1454.85,188.3057421,67,2021-03-01 02:25:00+00:00,2021-03-01 02:30:00+00:00
2021-03-01T02:30:01.1210000Z,2021-03-01T02:34:21.3040000Z,1453.55,1457.56,1453.55,1454.49,61.19800711,30,2021-03-01 02:30:00+00:00,2021-03-01 02:35:00+00:00
2021-03-01T02:35:32.1620000Z,2021-03-01T02:39:55.9510000Z,1451.38,1454.59,1449.03,1449.03,55.57534984,65,2021-03-01 02:35:00+00:00,2021-03-01 02:40:00+00:00
2021-03-01T02:40:43.3420000Z,2021-03-01T02:44:55.8200000Z,1450.01,1452.06,1447.14,1448.26,174.00265584,26,2021-03-01 02:40:00+00:00,2021-03-01 02:45:00+00:00
2021-03-01T02:45:02.6790000Z,2021-03-01T02:49:25.1530000Z,1448.26,1448.26,1444.84,1444.84,27.50578093,18,2021-03-01 02:45:00+00:00,2021-03-01 02:50:00+00:00
2021-03-01T02:50:03.1530000Z,2021-03-01T02:54:42.2920000Z,1445.54,1445.54,1442.08,1442.56,58.77159187,25,2021-03-01 02:50:00+00:00,2021-03-01 02:55:00+00:00
2021-03-01T02:55:18.9990000Z,2021-03-01T02:59:08.1280000Z,1440.39,1442.03,1439.57,1442.03,8.54896957,6,2021-03-01 02:55:00+00:00,2021-03-01 03:00:00+00:00
2021-03-01T03:00:21.1060000Z,2021-03-01T03:03:14.0020000Z,1443.94,1445.84,1441.81,1441.94,120.74401648,30,2021-03-01 03:00:00+00:00,2021-03-01 03:05:00+00:00
